date,start,end,memo
2025-05-24,09:43,09:44,"疲れた...\n(^o^)"
2025-05-24,09:46,09:47,"疲れた...\n(^o^)"
2025-05-24,09:55,09:55,"疲れた...\n(^o^)"
2025-05-24,09:55,09:55,"疲れた...\n(^o^)"
2025-05-24,09:55,09:55,""
2025-05-24,09:55,09:55,""
2025-05-24,10:11,10:11,"疲れた...\n(^o^)"
2025-05-24,18:05,18:06,"疲れた..."
2025-05-24,19:17,19:17,""
2025-05-24,19:18,19:18,"眠たい..."
2025-05-24,19:43,19:43,"眠たい..."
2025-05-24,22:28,22:28,"眠たい..."
2025-05-24,22:28,22:28,"眠たい..."
2025-05-24,22:29,22:29,"疲れた..."
2025-05-24,22:59,23:00,"疲れた..."
2025-05-24,23:07,23:08,"疲れた..."
2025-05-24,23:11,23:12,"疲れた..."
2025-05-24,23:16,23:16,"疲れた..."
2025-05-24,23:17,23:18,"疲れた..."
2025-05-24,23:18,23:18,"疲れた..."
2025-05-24,23:19,23:20,"疲れた..."
2025-05-24,23:20,23:21,"眠たい..."
2025-05-24,23:23,23:23,"疲れた..."
2025-05-24,23:25,23:26,"疲れた...\nあああ"
2025-05-24,23:36,23:37,"疲れた..."
2025-05-24,23:39,23:39,"疲れた...\nあああ"
2025-05-24,23:39,23:39,"疲れた...\nあああ"
2025-05-24,23:39,23:39,"疲れた...\nあああ"
2025-05-24,23:39,23:39,"疲れた...\nあああ"
